sellerCountry,sellBy,itemCode,quantity,moneyPerUnit,buyerCountry,buyerBy,totalMoney,updatedAt
Chile,Sebatron618,cookedFish,9,4.75,,completo_con_chucrut,42.75,22/07/2025 18:29
Chile,Sebatron618,cookedFish,1,4.75,,El_Tata,4.75,22/07/2025 18:27
Chile,Sebatron618,cookedFish,1,4.75,,ObdulioVarela,4.75,22/07/2025 18:26
Chile,Sebatron618,cookedFish,4,4.75,,ObdulioVarela,19.0,22/07/2025 18:25
Chile,Sebatron618,cookedFish,28,4.51,,completo_con_chucrut,126.28,22/07/2025 18:14
Chile,Sebatron618,steak,10,2.018,,hexxu,20.18,22/07/2025 17:54
Chile,Sebatron618,steak,2,2.018,,Zelfken,4.036,22/07/2025 17:50
Chile,Sebatron618,steak,8,2.018,Bahrain,Pudu-Prat,16.144,22/07/2025 17:40
Chile,Sebatron618,steak,5,2.018,,Kakanis395,10.09,22/07/2025 17:37
Chile,Sebatron618,steak,3,2.018,,Matthomsom,6.054,22/07/2025 17:25
Chile,Sebatron618,steak,2,2.018,,GregoryBraun,4.036,22/07/2025 17:09
Chile,Sebatron618,steak,2,2.018,,Jazzek,4.036,22/07/2025 17:04
Chile,Sebatron618,steak,7,2.018,,user_HMWHS0,14.126,22/07/2025 16:53
,Elebreaka,cookedFish,3,4.36,Chile,Sebatron618,13.08,22/07/2025 16:53
,xXLioXx,cookedFish,5,4.36,Chile,Sebatron618,21.8,22/07/2025 16:51
,Kenobis,cookedFish,7,4.36,Chile,Sebatron618,30.52,22/07/2025 16:33
Belize,meatie_swe,oil,200,0.08,Chile,Sebatron618,16.0,22/07/2025 16:17
,Tutu_Lenki,oil,704,0.079,Chile,Sebatron618,55.616,22/07/2025 16:17
Saudi Arabia,NOLEX,oil,356,0.078,Chile,Sebatron618,27.768,22/07/2025 16:17
Chile,Sebatron618,ammo,16,0.53,,SPMarine,8.48,22/07/2025 15:53
Chile,Sebatron618,ammo,20,0.53,,Dhelk,10.6,22/07/2025 15:46
Chile,Sebatron618,ammo,4,0.53,,Niesterday,2.12,22/07/2025 15:46
Chile,Sebatron618,ammo,4,0.53,,Niesterday,2.12,22/07/2025 15:44
Chile,Sebatron618,ammo,30,0.53,,Toryl,15.9,22/07/2025 15:35
Chile,Sebatron618,ammo,12,0.53,,LorenzoMendoza,6.36,22/07/2025 15:04
Chile,Sebatron618,ammo,14,0.53,,TheBoss,7.42,22/07/2025 14:47
Chile,Sebatron618,heavyAmmo,2,1.91,,Alejo,3.82,22/07/2025 09:14
Chile,Sebatron618,heavyAmmo,10,1.91,,Duvhok,19.1,22/07/2025 09:13
Chile,Sebatron618,heavyAmmo,10,1.91,,Alejo,19.1,22/07/2025 09:12
Chile,Sebatron618,heavyAmmo,20,1.91,,omar,38.2,22/07/2025 08:13
Chile,Sebatron618,heavyAmmo,49,1.91,,Duvhok,93.59,22/07/2025 06:48
,MrPolaris,oil,20,0.065,Chile,Sebatron618,1.3,22/07/2025 04:12
Chile,Sebatron618,heavyAmmo,50,1.91,,AliceRomanov,95.5,22/07/2025 03:05
Chile,Sebatron618,heavyAmmo,6,1.91,,Niesterday,11.46,22/07/2025 02:38
,DonNacho_ok,oil,122,0.065,Chile,Sebatron618,7.93,22/07/2025 02:38
Chile,Sebatron618,steak,5,2.05,,Gold,10.25,21/07/2025 22:49
Chile,Sebatron618,steak,2,2.05,,Jazzek,4.1,21/07/2025 22:48
Chile,Sebatron618,steak,4,2.05,,Yandro,8.2,21/07/2025 22:45
Chile,Sebatron618,steak,1,2.05,,tallarin_guerrero,2.05,21/07/2025 22:43
Chile,Sebatron618,steak,20,2.05,,AaronSSJ,41.0,21/07/2025 22:37
,Lazerhawk1,cocain,1,19.0,Chile,Sebatron618,19.0,21/07/2025 22:26
,mati_to,cocain,1,19.0,Chile,Sebatron618,19.0,21/07/2025 22:26
,Orzel94,steak,1,1.925,Chile,Johnny,1.925,21/07/2025 20:28
,Jail,livestock,3,0.856,Chile,Sebatron618,2.568,21/07/2025 20:24
,Roderik,livestock,57,0.856,Chile,Sebatron618,48.792,21/07/2025 19:53
,Don_Francisco,steak,64,1.925,Chile,Johnny,123.2,21/07/2025 19:50
,Riu,cookedFish,1,4.36,Chile,Sebatron618,4.36,21/07/2025 19:04
,konradbolkow,livestock,22,0.856,Chile,Sebatron618,18.832,21/07/2025 19:03
,bill_f4,cocain,2,19.0,Chile,Sebatron618,38.0,21/07/2025 18:38
,Alfie,cookedFish,6,4.36,Chile,Sebatron618,26.16,21/07/2025 18:21
,chal0,cookedFish,2,4.36,Chile,Sebatron618,8.72,21/07/2025 18:02
,Yogurt,cookedFish,7,4.36,Chile,Sebatron618,30.52,21/07/2025 16:30
,Toad,cookedFish,7,4.36,Chile,Sebatron618,30.52,21/07/2025 14:56
,Toad,cookedFish,4,4.36,Chile,Sebatron618,17.44,21/07/2025 14:52
,Reality_swap,cookedFish,1,4.36,Chile,Sebatron618,4.36,21/07/2025 14:34
Chile,Sebatron618,steak,20,2.06,,General-F4LL3N1TE,41.2,21/07/2025 13:52
Chile,Sebatron618,steak,20,2.06,,Seindelin,41.2,21/07/2025 13:52
,General_Armada,ammo,85,0.5,Chile,Sebatron618,42.5,21/07/2025 03:10
,Fernanditennn,ammo,177,0.5,Chile,Sebatron618,88.5,21/07/2025 03:10
,Vladimir-Putin_King,ammo,88,0.5,Chile,Sebatron618,44.0,21/07/2025 03:10
,Noble_Terrateniente,heavyAmmo,59,1.791,Chile,Sebatron618,105.669,21/07/2025 02:16
,Noble_Terrateniente,heavyAmmo,46,1.791,Chile,Sebatron618,82.386,21/07/2025 02:16
,StanescuLata,livestock,5,0.856,Chile,Sebatron618,4.28,20/07/2025 23:52
Chile,Sebatron618,steak,5,2.032,,MorgothBauglir,10.16,20/07/2025 22:36
Chile,Sebatron618,steak,2,2.02,,Dan_2K02,4.04,20/07/2025 22:32
Chile,Sebatron618,steak,9,2.03,,Dgyx1983,18.27,20/07/2025 22:32
Chile,Sebatron618,steak,10,2.04,,malan,20.4,20/07/2025 22:32
Chile,Sebatron618,steak,1,2.15,,GrandThefAuto6,2.15,20/07/2025 22:30
Chile,Sebatron618,steak,2,2.15,,Penne,4.3,20/07/2025 22:28
Chile,Sebatron618,steak,1,2.15,,General_Armada,2.15,20/07/2025 22:25
Chile,Sebatron618,steak,6,2.15,,Xandre,12.9,20/07/2025 22:25
Chile,Sebatron618,steak,1,2.15,,General_Armada,2.15,20/07/2025 22:24
,Meta-utopian,livestock,2,0.856,Chile,Sebatron618,1.712,20/07/2025 22:24
Chile,Sebatron618,steak,2,2.15,,BigALL,4.3,20/07/2025 22:16
Chile,Sebatron618,steak,5,2.15,,Caleuche,10.75,20/07/2025 22:13
Chile,Sebatron618,steak,2,2.15,,DOPA,4.3,20/07/2025 22:09
Chile,Sebatron618,steak,2,2.15,,KaiserGeschutz,4.3,20/07/2025 21:44
Chile,Sebatron618,steak,1,2.15,,Chaufan,2.15,20/07/2025 21:42
Chile,Sebatron618,steak,6,2.15,,asphyxECOMODE,12.9,20/07/2025 21:34
Chile,Sebatron618,steak,2,2.15,,gigi,4.3,20/07/2025 21:32
Chile,Sebatron618,steak,2,2.15,,Agostinho_Neto,4.3,20/07/2025 21:32
Chile,Sebatron618,steak,1,2.15,,ANTI,2.15,20/07/2025 21:30
Chile,Sebatron618,steak,5,2.15,,Perro_Sanxe,10.75,20/07/2025 21:23
Chile,Sebatron618,steak,10,2.15,,Tokson,21.5,20/07/2025 21:21
Chile,Sebatron618,steak,18,2.15,,Deccacha,38.7,20/07/2025 21:12
Chile,Sebatron618,steak,3,2.01,,Smerwig,6.03,20/07/2025 18:56
,Don_Francisco,steak,65,1.86,Chile,Sebatron618,120.9,20/07/2025 18:13
Chile,Sebatron618,heavyAmmo,15,1.989,,KimJong49,29.835,20/07/2025 17:10
Chile,Sebatron618,heavyAmmo,10,1.989,,KimJong49,19.89,20/07/2025 17:09
Chile,Sebatron618,heavyAmmo,7,1.989,,KimJong49,13.923,20/07/2025 17:08
Chile,Sebatron618,heavyAmmo,6,1.989,,KimJong49,11.934,20/07/2025 17:06
Chile,Sebatron618,livestock,4,1.25,,wish,5.0,20/07/2025 17:03
Chile,Sebatron618,heavyAmmo,16,1.95,,Maybe_Next_Time,31.2,20/07/2025 16:22
,Kasane-Torres,heavyAmmo,80,1.791,Chile,Sebatron618,143.28,20/07/2025 16:17
,Araexx,livestock,4,0.856,Chile,Sebatron618,3.424,20/07/2025 15:38
Chile,Sebatron618,steak,2,2.1,,HawkPilotJr,4.2,20/07/2025 14:54
Chile,Sebatron618,steak,3,2.1,,Okrutnik,6.3,20/07/2025 14:50
Chile,Sebatron618,steak,4,2.1,,D5,8.4,20/07/2025 14:48
Chile,Sebatron618,steak,2,2.1,,Okrutnik,4.2,20/07/2025 14:47
Chile,Sebatron618,steak,2,2.1,,Miyabi_Miyabi,4.2,20/07/2025 14:45
Chile,Sebatron618,heavyAmmo,16,1.95,,Maybe_Next_Time,31.2,20/07/2025 16:22
,Kasane-Torres,heavyAmmo,80,1.791,Chile,Sebatron618,143.28,20/07/2025 16:17
,Araexx,livestock,4,0.856,Chile,Sebatron618,3.424,20/07/2025 15:38
Chile,Sebatron618,steak,2,2.1,,HawkPilotJr,4.2,20/07/2025 14:54
Chile,Sebatron618,steak,3,2.1,,Okrutnik,6.3,20/07/2025 14:50
Chile,Sebatron618,steak,4,2.1,,D5,8.4,20/07/2025 14:48
Chile,Sebatron618,steak,2,2.1,,Okrutnik,4.2,20/07/2025 14:47
Chile,Sebatron618,steak,2,2.1,,Miyabi_Miyabi,4.2,20/07/2025 14:45
Chile,Sebatron618,steak,2,2.1,,Dhelk,4.2,20/07/2025 14:40
Chile,Sebatron618,steak,18,2.1,,vatou,37.8,20/07/2025 14:40
Chile,Sebatron618,steak,2,2.1,,GrandThefAuto6,4.2,20/07/2025 14:28
Chile,Sebatron618,steak,5,2.1,,Matthomsom,10.5,20/07/2025 14:23
Chile,Sebatron618,steak,5,2.1,,Leutza10,10.5,20/07/2025 14:23
Chile,Sebatron618,steak,5,2.1,,Manjukesin,10.5,20/07/2025 14:21
Chile,Sebatron618,steak,5,2.1,,Manjukesin,10.5,20/07/2025 14:21
Chile,Sebatron618,steak,6,2.1,,xDCTo,12.6,20/07/2025 14:15
Chile,Sebatron618,steak,2,2.05,,Hansik,4.1,20/07/2025 14:06
Chile,Sebatron618,steak,1,2.05,,Miyabi_Miyabi,2.05,20/07/2025 14:04
Chile,Sebatron618,steak,1,2.05,,BL_BaiLu,2.05,20/07/2025 14:01
Chile,Sebatron618,steak,1,2.05,,Ltuxasx,2.05,20/07/2025 13:56
Chile,Sebatron618,steak,3,2.05,,Konan,6.15,20/07/2025 13:56
Chile,Sebatron618,steak,10,2.05,,Cervezeitor,20.5,20/07/2025 13:51
Chile,Sebatron618,steak,1,2.05,,Carlitos_Jr,2.05,20/07/2025 13:50
,Tutu_Lenki,oil,439,0.079,Chile,Sebatron618,34.681,20/07/2025 13:13
,Nelson,oil,448,0.077,Chile,Sebatron618,34.496,20/07/2025 13:13
,puducioso,oil,113,0.076,Chile,Sebatron618,8.588,20/07/2025 13:12
Chile,Sebatron618,steak,1,2.05,,Penne,2.05,20/07/2025 11:48
Chile,Sebatron618,steak,5,2.05,,Konan,10.25,20/07/2025 11:46
Chile,Sebatron618,steak,2,2.05,,Kaktus467,4.1,20/07/2025 11:34
Chile,Sebatron618,steak,4,2.05,,RimtasMeskiukas,8.2,20/07/2025 11:28
Chile,Sebatron618,steak,2,2.05,,EMPERDOR,4.1,20/07/2025 04:18
Chile,Sebatron618,steak,1,2.05,,tallarin_guerrero,2.05,20/07/2025 04:15
Chile,Sebatron618,steak,2,2.05,,ANTI,4.1,20/07/2025 04:03
Chile,Sebatron618,steak,2,2.05,Uruguay,ANTI,4.1,20/07/2025 04:02
Chile,Sebatron618,steak,1,2.05,,xDCTo,2.05,20/07/2025 03:57
,Chavayaya89,oil,263,0.065,Chile,Sebatron618,17.095,19/07/2025 23:33
,aHk,heavyAmmo,6,1.785,Chile,Sebatron618,10.71,19/07/2025 22:38
,Bloodgiver,heavyAmmo,10,1.785,Chile,Sebatron618,17.85,19/07/2025 21:05
,DuMa,steak,250,1.9,Chile,Sebatron618,475.0,19/07/2025 19:22
Chile,Sebatron618,heavyAmmo,25,1.91,,A_Red_Raven,47.75,19/07/2025 18:48
Chile,Sebatron618,heavyAmmo,2,1.91,,Gavril,3.82,19/07/2025 18:48
Chile,Sebatron618,heavyAmmo,8,1.91,,VaasMontenegro,15.28,19/07/2025 18:26
Chile,Sebatron618,heavyAmmo,30,1.91,,BigALL,57.3,19/07/2025 18:23
Chile,Sebatron618,heavyAmmo,4,1.91,,KingArth,7.64,19/07/2025 18:23
Chile,Sebatron618,heavyAmmo,20,1.91,,BigALL,38.2,19/07/2025 18:21
Chile,Sebatron618,heavyAmmo,6,1.91,,Niesterday,11.46,19/07/2025 18:19
Chile,Sebatron618,heavyAmmo,30,1.91,,Duvhok,57.3,19/07/2025 18:19
,Malco,heavyAmmo,21,1.785,Chile,Sebatron618,37.485,19/07/2025 17:16
,Fernanditennn,heavyAmmo,34,1.785,Chile,Sebatron618,60.69,19/07/2025 16:24
,Kasane-Torres,heavyAmmo,70,1.785,Chile,Sebatron618,124.95,19/07/2025 16:06
Chile,Sebatron618,livestock,13,0.89,,Asth,11.57,19/07/2025 15:14
Chile,Sebatron618,heavyAmmo,18,1.91,,Dragonblitz301,34.38,19/07/2025 14:03
Chile,Sebatron618,heavyAmmo,4,1.91,,Niesterday,7.64,19/07/2025 13:49
Chile,Sebatron618,heavyAmmo,28,1.91,,Gamers_Revenge,53.48,19/07/2025 13:46
Chile,Sebatron618,ammo,5,0.52,,Mike_Ehrmantraut,2.6,19/07/2025 13:40
Chile,Sebatron618,ammo,4,0.52,,Beneamin-19,2.08,19/07/2025 13:31
Chile,Sebatron618,livestock,12,0.89,,KTM,10.68,19/07/2025 13:30
Chile,Sebatron618,livestock,2,0.9,,konradbolkow,1.8,19/07/2025 13:30
,kkkaru,heavyAmmo,9,1.762,Chile,Sebatron618,15.858,19/07/2025 08:18
,El_Tata,heavyAmmo,41,1.762,Chile,Sebatron618,72.242,19/07/2025 08:11
Chile,Sebatron618,livestock,5,0.95,,tallarin_guerrero,4.75,19/07/2025 03:09
Chile,Sebatron618,livestock,78,0.81,,Don_Francisco,63.18,19/07/2025 02:23
Chile,Sebatron618,livestock,37,0.81,,Don_Francisco,29.97,19/07/2025 02:23
,wish,ammo,9,0.46,Chile,Sebatron618,4.14,19/07/2025 01:48
,Legiobr,livestock,18,0.603,Chile,Sebatron618,10.854,18/07/2025 18:47
,Legiobr,livestock,14,0.603,Chile,Sebatron618,8.442,18/07/2025 18:44
Chile,Sebatron618,livestock,30,0.81,,Milanesa_de_Pollo,24.3,18/07/2025 14:48
Chile,Sebatron618,livestock,20,0.81,,Tifon_timbero,16.2,18/07/2025 14:35
Chile,Sebatron618,livestock,10,0.81,,user_3UOFFV,8.1,18/07/2025 14:18
Chile,Sebatron618,livestock,2,0.81,,MasterExegamer,1.62,18/07/2025 08:58
,Warring,livestock,20,0.601,Chile,Sebatron618,12.02,17/07/2025 18:03
,user_MXWGC6,livestock,1,0.601,Chile,Sebatron618,0.601,17/07/2025 18:00
,Meta-utopian,livestock,6,0.601,Chile,Sebatron618,3.606,17/07/2025 16:05
,Meta-utopian,livestock,25,0.601,Chile,Sebatron618,15.025,17/07/2025 16:05
,Bagrinho,livestock,26,0.601,Chile,Sebatron618,15.626,17/07/2025 15:51
,bartas_printman,livestock,18,0.601,Chile,Sebatron618,10.818,17/07/2025 08:21
,Zmajeviti,livestock,81,0.601,Chile,Sebatron618,48.681,17/07/2025 08:00
Chile,Sebatron618,steak,3,2.1,,RommelDerChino,6.3,16/07/2025 11:46
Chile,Sebatron618,steak,10,2.1,,Melitaiston,21.0,16/07/2025 11:42
Chile,Sebatron618,steak,5,2.1,,Perolero,10.5,16/07/2025 11:39
Chile,Sebatron618,steak,2,2.1,,DOPA,4.2,16/07/2025 11:28
Chile,Sebatron618,limestone,84,0.067,,Alenzu,5.628,16/07/2025 11:26
Chile,Sebatron618,limestone,100,0.067,,Ungurubulan,6.7,16/07/2025 11:13
Chile,Sebatron618,limestone,2000,0.067,,Donahops,134.0,16/07/2025 10:12
Chile,Sebatron618,limestone,12,0.067,,Juno,0.804,16/07/2025 09:20
,Carlos,steak,20,1.8,Chile,Sebatron618,36.0,16/07/2025 08:45
